continent,year,cont_avg_gdp_growth
Asia,1990,NA
Asia,1991,-0.7942029771117964
Asia,1992,-1.3135166114351098
Asia,1993,1.0480296853911801
Asia,1994,-1.006492262956069
Asia,1995,2.146309298560028
Asia,1996,3.0123537050480684
Asia,1997,2.9792404978763085
Asia,1998,1.4321309247630103
Asia,1999,2.93636109708048
Asia,2000,4.305089886837608
Asia,2001,2.1463884876397823
Asia,2002,2.4634643515782004
Asia,2003,4.204218833359958
Asia,2004,7.058621502662228
Asia,2005,4.79077149699078
Asia,2006,5.57500689724714
Asia,2007,5.769544768512766
Asia,2008,3.376794739937068
Asia,2009,0.549125419823575
Asia,2010,5.0395379580349005
Asia,2011,4.627274843664634
Asia,2012,3.601420508413251
Asia,2013,3.0707231992116366
Asia,2014,2.163870337100021
Asia,2015,1.4437688441548988
Asia,2016,2.658273267976019
Asia,2017,2.5756805011960964
Asia,2018,2.5121760357297513
Asia,2019,2.4657587162619192
Asia,2020,-5.445965138964981
Asia,2021,3.8465419612002756
