continent,year,cont_avg_gdp_growth,sd
Africa,1990,NA,NA
Africa,1991,-0.508451075859085,NA
Africa,1992,-3.2044898660039145,NA
Africa,1993,-1.949455027303441,NA
Africa,1994,-2.7274608631021806,NA
Africa,1995,3.6515147500958056,2.766309739243152
Africa,1996,2.0157043066532254,3.0791343035986363
Africa,1997,1.822039975683845,2.755631341841139
Africa,1998,0.17720660886463052,2.4139254750918533
Africa,1999,0.8330894754883764,1.3222524640510378
Africa,2000,0.055100686166063784,0.9087369572682285
Africa,2001,1.7470707677885593,0.837381380138909
Africa,2002,1.8018215919404048,0.8320097390279905
Africa,2003,0.8773001775927747,0.7274981759424343
Africa,2004,3.3054729285582782,1.2114985414937343
Africa,2005,2.6441382283107573,0.9293318446897322
Africa,2006,2.9255621914643477,0.9737045117241189
Africa,2007,2.5508211588372283,0.9325589195759005
Africa,2008,2.812166850265902,0.2943023946547732
Africa,2009,0.755080500005951,0.8964806382651676
Africa,2010,2.9716541496384825,0.935594203492932
Africa,2011,2.0101198699615934,0.8965387587613415
Africa,2012,2.5364818348866867,0.895237827349405
Africa,2013,1.216248185651555,0.9143322204031028
Africa,2014,2.1011196065322864,0.6551461025957905
Africa,2015,1.0174078477670592,0.6378932631983203
Africa,2016,1.2727643098593915,0.6553115480424716
Africa,2017,1.211290255807255,0.4233633121829581
Africa,2018,1.4778023476088382,0.41668531951474946
Africa,2019,1.4457458191157526,0.18721669398261462
Africa,2020,-2.8647016058913373,1.8890791332895405
Africa,2021,1.0451528091570375,1.8686928125646134
Asia,1990,NA,NA
Asia,1991,1.5444465858476621,NA
Asia,1992,2.6305153972701283,NA
Asia,1993,3.317956934844756,NA
Asia,1994,-3.7813385658056813,NA
Asia,1995,4.322226996464861,3.177480141108732
Asia,1996,3.80807809585455,3.3242527885852393
Asia,1997,3.339402396650881,3.369504086362382
Asia,1998,2.668724698356612,3.327966667791737
Asia,1999,5.67402226275581,1.1340925057508757
Asia,2000,6.185167300726809,1.521630235257383
Asia,2001,7.0421637583308865,1.8854807431101088
Asia,2002,1.9501862354432178,2.2543095014400767
Asia,2003,3.6313630197951365,2.070652891622775
Asia,2004,4.107941483448377,2.0419003183981723
Asia,2005,6.374383083299722,2.0803991519107052
Asia,2006,4.371780230124392,1.5880206021599
Asia,2007,7.695471996947563,1.7276552055540315
Asia,2008,6.110217751174276,1.4915336783753992
Asia,2009,6.756194514081675,1.2152847411500127
Asia,2010,6.768581384387976,1.2370218416338457
Asia,2011,3.8941564872653203,1.4303808722367064
Asia,2012,5.472285070624198,1.1925109075068203
Asia,2013,4.333316356598156,1.3334915907559752
Asia,2014,4.43041545154954,1.1554941252442985
Asia,2015,3.1077664481638747,0.8609246696408233
Asia,2016,3.9070315722572273,0.8596215505764437
Asia,2017,3.4354877547047993,0.5692542264434995
Asia,2018,3.584515186577302,0.5025362857931339
Asia,2019,7.218725997079442,1.6838910758900254
Asia,2020,2.857054207937247,1.729547591839306
Asia,2021,-3.906400548931208,4.043268838213517
North America,1990,NA,NA
North America,1991,-0.14845308209637428,NA
North America,1992,-7.146042532815058,NA
North America,1993,-7.230753056997344,NA
North America,1994,-13.599047409223145,NA
North America,1995,7.86287521429439,8.185743917551143
North America,1996,2.220589655471953,8.529539702114366
North America,1997,0.8287008982510098,8.440802018180658
North America,1998,0.33461122334734206,7.927515217860803
North America,1999,0.8579074938249655,3.1219330099262583
North America,2000,-0.9552517359466766,1.1421413363093225
North America,2001,-2.1165819635025467,1.2948341799295948
North America,2002,-0.6960613633991303,1.1617211136120393
North America,2003,1.7111451547057706,1.5209787055076724
North America,2004,-2.961304479277117,1.770458591813843
North America,2005,1.3707545592604051,2.06708164236909
North America,2006,0.07314933325457822,1.8718772552685077
North America,2007,2.9889419793433216,2.2632684479736946
North America,2008,1.0024538268353382,2.20046588631555
North America,2009,4.199388898127046,1.6501840021401952
North America,2010,-6.727405989248463,4.253372586225317
North America,2011,3.9217175446129087,4.539040714932186
North America,2012,-1.0309572681452024,4.471234755324243
North America,2013,2.7726333058187804,4.6113170068490295
North America,2014,0.24222148682940545,4.1626863732023205
North America,2015,1.0963040084295197,1.9739184640508394
North America,2016,0.3861578762163742,1.3925615300178327
North America,2017,1.0977343702602333,1.005145335782705
North America,2018,0.2933568580964768,0.43564330460699857
North America,2019,-2.9885196819884157,1.7007855394890847
North America,2020,-4.594566239516444,2.486962881165254
North America,2021,-3.005803069011699,2.4211218044400873
Oceania,1990,NA,NA
Oceania,1991,0.8857221273839478,NA
Oceania,1992,3.405178743100499,NA
Oceania,1993,1.3050262834987012,NA
Oceania,1994,5.016354514013511,NA
Oceania,1995,0.06599380385831181,2.0276768690961946
Oceania,1996,-2.47770775574545,2.911363348630625
Oceania,1997,2.0061705798963643,2.7402368064875655
Oceania,1998,6.22986454663416,3.5580572755021875
Oceania,1999,-2.6514181890691866,3.6740944228555694
Oceania,2000,-4.31951077264899,4.311875450213718
Oceania,2001,-4.427769277306377,4.64027955983906
Oceania,2002,2.104555707748077,4.65445323277631
Oceania,2003,-0.29136676090532687,2.803167143593589
Oceania,2004,-0.607901613243318,2.8182697240121914
Oceania,2005,0.679709935288991,2.4319540579331123
Oceania,2006,0.3655511685289263,1.0566732331793014
Oceania,2007,2.449160216088052,1.1938900928667604
Oceania,2008,1.7758214237432195,1.2010016813233721
Oceania,2009,-2.6814342227881443,1.9746686004011031
Oceania,2010,0.22316530237837315,1.9758629466425757
Oceania,2011,3.3966883414425064,2.3768240007541626
Oceania,2012,-0.03130278481336274,2.2634196583300583
Oceania,2013,2.9801581293653676,2.481810088017701
Oceania,2014,-1.2383880868470138,2.0199478738591576
Oceania,2015,6.007867227837941,2.8870028239223844
Oceania,2016,2.289546414677626,2.816064753503397
Oceania,2017,0.274063524857125,2.7637807508534133
Oceania,2018,1.7864027138394265,2.7158523441135567
Oceania,2019,3.3664971829894506,2.136845514243004
Oceania,2020,-2.4872956462728992,2.2671223479616143
Oceania,2021,-0.4019963036189563,2.216976212946687
